domain,tld,keyword,keyword_volume_us,keyword_volume_au,cluster,cluster_total_volume_us,content_type,chemistry_topic,label_length,verification,notes
howtobalancechemicalequations.com,com,how to balance chemical equations,22200,1900,How to Balance Chemical Equations: Step-by-Step Guide,175350,guide,balancing equations,29,rdap+whois,
polyatomicionslist.com,com,polyatomic ions list,18100,480,Polyatomic Ions Cheat Sheet - List & Memorization Tips,29080,guide,chemical formulas/naming,18,rdap+whois,
apchemistryformulasheet.com,com,ap chemistry formula sheet,18100,40,AP Chemistry Cheat Sheet - Formula Sheet & Quick Reference,18100,guide,general chemistry,23,rdap+whois,
quizperiodictable.com,com,quiz periodic table,6600,590,Periodic Table Game - Free Online Element Quiz,180970,game,periodic table,17,rdap+whois,game/quiz term
namingioniccompounds.com,com,naming ionic compounds,6600,320,Naming Compounds Practice - Ionic & Covalent Naming,40040,guide,chemical formulas/naming,20,rdap+whois,
quizabouttheperiodictable.com,com,quiz about the periodic table,6600,590,Periodic Table Game - Free Online Element Quiz,180970,game,periodic table,25,rdap+whois,game/quiz term
ioniccompoundsexamples.com,com,ionic compounds examples,5400,390,Naming Compounds Practice - Ionic & Covalent Naming,40040,guide,chemical formulas/naming,22,rdap+whois,
practicebalancingequations.com,com,practice balancing equations,5400,210,Balancing Chemical Equations Game - Free Online Practice,152360,game,balancing equations,26,rdap+whois,
balancingequationspractice.com,com,balancing equations practice,5400,210,Balancing Chemical Equations Practice - Worksheet & Answers,590,guide,balancing equations,26,rdap+whois,
practiceproblemsstoichiometry.com,com,practice problems stoichiometry,4400,30,Stoichiometry Practice Problems & Step-by-Step Solutions,31080,guide,stoichiometry/moles,29,rdap+whois,
practicestoichiometryproblems.com,com,practice stoichiometry problems,4400,30,Stoichiometry Practice Problems & Step-by-Step Solutions,31080,guide,stoichiometry/moles,29,rdap+whois,
stoichiometrypracticeproblems.com,com,stoichiometry practice problems,4400,30,Stoichiometry Practice Problems & Step-by-Step Solutions,31080,guide,stoichiometry/moles,29,rdap+whois,
lewisstructurepractice.com,com,lewis structure practice,3600,50,Bonding Practice Game - Lewis Structures & Chemical Bonds,12840,game,bonding,22,rdap+whois,
practicelewisstructure.com,com,practice lewis structure,3600,50,Bonding Practice Game - Lewis Structures & Chemical Bonds,12840,game,bonding,22,rdap+whois,
namingcovalentcompounds.com,com,naming covalent compounds,3600,320,Naming Compounds Practice - Ionic & Covalent Naming,40040,guide,chemical formulas/naming,23,rdap+whois,
namingcompoundschemistry.com,com,naming compounds chemistry,3600,170,Naming Compounds Practice - Ionic & Covalent Naming,40040,guide,chemical formulas/naming,24,rdap+whois,
ischemistryhard.com,com,is chemistry hard,2400,110,Chemistry Study Tips: How to Study Chemistry & Succeed,12570,blog,general chemistry,15,rdap+whois,
quizchemistry.com,com,quiz chemistry,1900,210,Chemistry Quiz - Free Online General Chemistry Game,16320,game,general chemistry,13,rdap+whois,short label; game/quiz term
quizonchemistry.com,com,quiz on chemistry,1900,210,Chemistry Quiz - Free Online General Chemistry Game,16320,game,general chemistry,15,rdap+whois,game/quiz term
quizforchemistry.com,com,quiz for chemistry,1900,210,Chemistry Quiz - Free Online General Chemistry Game,16320,game,general chemistry,16,rdap+whois,game/quiz term
gamesinchemistry.com,com,games in chemistry,1900,170,Chemistry Games for High School - Free Online Learning,10860,game,general chemistry,16,rdap+whois,game/quiz term
quizaboutchemistry.com,com,quiz about chemistry,1900,210,Chemistry Quiz - Free Online General Chemistry Game,16320,game,general chemistry,18,rdap+whois,game/quiz term
gameswithchemistry.com,com,games with chemistry,1900,170,Chemistry Games for High School - Free Online Learning,10860,game,general chemistry,18,rdap+whois,game/quiz term
chemistrysciencequiz.com,com,chemistry science quiz,1900,210,Chemistry Quiz - Free Online General Chemistry Game,16320,game,general chemistry,20,rdap+whois,game/quiz term
namingpolyatomicions.com,com,naming polyatomic ions,1600,50,Naming Compounds Practice - Ionic & Covalent Naming,40040,guide,chemical formulas/naming,20,rdap+whois,
stoichiometrypractice.com,com,stoichiometry practice,1600,20,Stoichiometry Practice Problems & Step-by-Step Solutions,31080,guide,stoichiometry/moles,21,rdap+whois,
practicestoichiometry.com,com,practice stoichiometry,1600,20,Stoichiometry Practice Problems & Step-by-Step Solutions,31080,guide,stoichiometry/moles,21,rdap+whois,
polyatomicionssheet.com,com,polyatomic ions sheet,1300,40,Chemistry Cheat Sheet - Free Reference Guide & Formulas,131700,guide,general chemistry,19,rdap+whois,
namingcompoundspractice.com,com,naming compounds practice,1300,20,Naming Compounds Practice - Ionic & Covalent Naming,40040,guide,chemical formulas/naming,23,rdap+whois,
lewisstructurepracticeproblems.com,com,lewis structure practice problems,1300,10,Lewis Structure Practice Problems & Drawing Guide,7540,guide,bonding,30,rdap+whois,
orgomeaning.com,com,orgo meaning,880,70,Organic Chemistry Guide - What Is Organic Chemistry?,1250,guide,organic,11,rdap+whois,short label
flashcardschemistry.com,com,flashcards chemistry,880,70,Chemistry Flashcards - Free Online Study Game,6490,game,general chemistry,19,rdap+whois,
chemicalequationsolver.com,com,chemical equation solver,880,70,How to Balance Chemical Equations: Step-by-Step Guide,175350,guide,balancing equations,22,rdap+whois,
practicechemistryproblems.com,com,practice chemistry problems,880,20,Chemistry Practice Problems - Free Exercises & Solutions,7110,guide,general chemistry,25,rdap+whois,
practiceproblemschemistry.com,com,practice problems chemistry,880,20,Chemistry Practice Problems - Free Exercises & Solutions,7110,guide,general chemistry,25,rdap+whois,
chemistrycheatsheet.com,com,chemistry cheat sheet,720,70,(brand-level seed),0,brand,brand,19,rdap+whois,brand-level seed
cheatsheetchemistry.com,com,cheat sheet chemistry,720,70,Chemistry Cheat Sheet - Free Reference Guide & Formulas,131700,guide,general chemistry,19,rdap+whois,
worksheetschemistry.com,com,worksheets chemistry,720,50,Free Chemistry Worksheets - Practice Exercises & Answer Keys,5460,guide,general chemistry,19,rdap+whois,
worksheetsinchemistry.com,com,worksheets in chemistry,720,50,Free Chemistry Worksheets - Practice Exercises & Answer Keys,5460,guide,general chemistry,21,rdap+whois,
