from_slug,to_slug,link_type
/blog/best-chemistry-games,/games,spoke->hub
/blog/chemistry-apps-students,/cheat-sheets,spoke->hub
/blog/chemistry-games-ideas,/blog/chemistry-review-games,related
/blog/chemistry-games-ideas,/guides/periodic-table-worksheet,spoke->hub
/blog/chemistry-of-everyday-life,/blog/fun-chemistry-facts,related
/blog/chemistry-of-everyday-life,/cheat-sheets,spoke->hub
/blog/chemistry-of-everyday-life,/guides/general-chemistry-guide,related
/blog/chemistry-of-everyday-life,/guides/what-is-chemistry-guide,related
/blog/chemistry-review-games,/blog/chemistry-games-ideas,related
/blog/chemistry-review-games,/guides/periodic-table-worksheet,spoke->hub
/blog/fun-chemistry-facts,/blog/chemistry-of-everyday-life,related
/blog/fun-chemistry-facts,/cheat-sheets,spoke->hub
/blog/fun-chemistry-facts,/guides/general-chemistry-guide,related
/blog/fun-chemistry-facts,/guides/what-is-chemistry-guide,related
/blog/how-to-study-chemistry,/blog/is-chemistry-hard,related
/blog/how-to-study-chemistry,/cheat-sheets,spoke->hub
/blog/is-chemistry-hard,/blog/how-to-study-chemistry,related
/blog/is-chemistry-hard,/cheat-sheets,spoke->hub
/blog/periodic-table-game-ideas,/blog/periodic-table-project,related
/blog/periodic-table-game-ideas,/guides/metals-nonmetals-metalloids-guide,spoke->hub
/blog/periodic-table-project,/blog/periodic-table-game-ideas,related
/blog/periodic-table-project,/guides/metals-nonmetals-metalloids-guide,spoke->hub
/blog/periodic-table-project-ideas,/guides/periodic-table-worksheet,spoke->hub
/cheat-sheets,/blog/chemistry-apps-students,hub->spoke
/cheat-sheets,/blog/chemistry-of-everyday-life,hub->spoke
/cheat-sheets,/blog/fun-chemistry-facts,hub->spoke
/cheat-sheets,/blog/how-to-study-chemistry,hub->spoke
/cheat-sheets,/blog/is-chemistry-hard,hub->spoke
/cheat-sheets,/guides/ap-chemistry-cheat-sheet,guide->cheatsheet
/cheat-sheets,/guides/ap-chemistry-cheat-sheet,hub->spoke
/cheat-sheets,/guides/ap-chemistry-practice,hub->spoke
/cheat-sheets,/guides/chemistry-formulas-cheat-sheet,guide->cheatsheet
/cheat-sheets,/guides/chemistry-formulas-cheat-sheet,hub->spoke
/cheat-sheets,/guides/chemistry-practice-problems,hub->spoke
/cheat-sheets,/guides/chemistry-practice-worksheets,hub->spoke
/cheat-sheets,/guides/chemistry-quiz-questions,hub->spoke
/cheat-sheets,/guides/chemistry-worksheets,hub->spoke
/cheat-sheets,/guides/chemistry-worksheets-with-answers,hub->spoke
/cheat-sheets,/guides/general-chemistry-guide,hub->spoke
/cheat-sheets,/guides/general-chemistry-quiz,hub->spoke
/cheat-sheets,/guides/make-chemistry-flashcards,hub->spoke
/cheat-sheets,/guides/solutions-worksheets,hub->spoke
/cheat-sheets,/guides/what-is-chemistry-guide,hub->spoke
/elements/[element],/guides/first-20-elements-guide,game<->guide
/elements/[element],/guides/metals-nonmetals-metalloids-guide,spoke->hub
/games,/blog/best-chemistry-games,hub->spoke
/games,/games/chemistry-basics-quiz,hub->spoke
/games,/games/chemistry-flashcards,hub->spoke
/games,/games/chemistry-games-beginners,hub->spoke
/games,/games/chemistry-games-for-high-school,hub->spoke
/games,/games/chemistry-quiz,hub->spoke
/games,/games/chemistry-review-games,hub->spoke
/games,/games/general-chemistry-practice,hub->spoke
/games,/games/lab-equipment-quiz,hub->spoke
/games,/games/lab-safety-quiz,hub->spoke
/games,/games/organic-chemistry-games,hub->spoke
/games,/games/science-simulation-online,hub->spoke
/games,/games/virtual-chemistry-lab,hub->spoke
/games/acid-base-titration-simulation,/guides/acids-and-bases-basics,spoke->hub
/games/acid-base-titration-simulation,/guides/titration-curves-lab,game<->guide
/games/acids-and-bases-quiz,/games/acids-bases-ph-titration-game,related
/games/acids-and-bases-quiz,/guides/acids-and-bases-basics,spoke->hub
/games/acids-bases-ph-titration-game,/games/acids-and-bases-quiz,related
/games/acids-bases-ph-titration-game,/guides/acids-and-bases-basics,spoke->hub
/games/atom-structure-parts-game,/games/calculate-protons-neutrons-electrons,related
/games/atom-structure-parts-game,/games/label-the-atom,related
/games/atom-structure-parts-game,/games/subatomic-particles-puzzle,related
