domain,keyword,keyword_volume_us,cluster,cluster_total_volume_us,label_length,rdap_status_today,cf_available,cf_price_usd_year1,price_source,recommend,rationale
quizperiodictable.com,quiz periodic table,6600,Periodic Table Game - Free Online Element Quiz,180970,17,404,unknown,10.44,verisign-wholesale-estimate,yes,"Largest cluster in the entire set (180,970/mo US) and the highest exact-match volume (6,600/mo). Highest-demand domain available, by a wide margin."
practicebalancingequations.com,practice balancing equations,5400,Balancing Chemical Equations Game - Free Online Practice,152360,26,404,unknown,10.44,verisign-wholesale-estimate,yes,"152,360/mo cluster at 5,400/mo exact. 'Practice' framing matches tool/solver intent better than 'game', and beats the game-variant on exact volume 14:1."
quizchemistry.com,quiz chemistry,1900,Chemistry Quiz - Free Online General Chemistry Game,16320,13,404,unknown,10.44,verisign-wholesale-estimate,yes,"16,320/mo cluster, 1,900/mo exact, and the shortest strong label in the set (13 chars) — best general-chemistry brandable available."
gamesinchemistry.com,games in chemistry,1900,Chemistry Games for High School - Free Online Learning,10860,16,404,unknown,10.44,verisign-wholesale-estimate,yes,"1,900/mo exact on the 10,860/mo chemistry-games hub cluster; shortest of five hub variants and the natural umbrella domain for the games vertical."
statesofmattergame.com,states of matter game,480,States of Matter Game - Free Online Chemistry Game,1400,18,404,unknown,10.44,verisign-wholesale-estimate,yes,"1,400/mo cluster at 480/mo exact, and the only candidate for its topic — no near-duplicate competes for the same query."
chemistrycheatsheet.com,chemistry cheat sheet,720,(brand-level seed),0,19,404,unknown,10.44,verisign-wholesale-estimate,yes,720/mo exact on a topic-agnostic brandable — works as a standalone lead-magnet property rather than a single-page EMD.
chemistryreactiongames.com,chemistry reaction games,90,Types of Chemical Reactions Practice Problems & Quiz,1530,22,404,unknown,10.44,verisign-wholesale-estimate,yes,"Best entry to the 1,530/mo reaction-types cluster; outranks both sibling variants on exact volume (90/mo vs 0)."
acidbasegame.com,acid base game,30,Acids and Bases Game - Acid-Base Titration Online,160,12,404,unknown,10.44,verisign-wholesale-estimate,yes,Shortest label in the whole set (12 chars) and the only acid/base variant with non-zero exact volume (30/mo) — cleanest brandable for the titration topic.
buildamoleculegame.com,build a molecule game,50,Molecule Builder Game - Build Molecules Free,150,18,404,unknown,10.44,verisign-wholesale-estimate,yes,150/mo cluster at 50/mo exact; natural-language verb phrase reads better than the 'moleculebuilder' variants at identical volume.
organicchemistrygames.com,organic chemistry games,170,Organic Chemistry Games Online - Naming & Learning,40,21,404,unknown,10.44,verisign-wholesale-estimate,yes,170/mo exact — the highest of any organic-chemistry candidate and 17x the next best; short enough (21 chars) to serve as the organic topic hub.
gameswithchemistry.com,games with chemistry,1900,Chemistry Games for High School - Free Online Learning,10860,18,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.794; superseded within 'chemistry-games-hub' by gamesinchemistry.com (0.805).
balancingchemicalequationsgame.com,balancing chemical equations game,390,Balancing Chemical Equations Game - Free Online Practice,152360,30,404,unknown,10.44,verisign-wholesale-estimate,no,Score 0.764; superseded within 'balancing-equations' by practicebalancingequations.com (0.906).
