domain,tld,keyword,keyword_volume_us,keyword_volume_au,cluster,cluster_total_volume_us,content_type,chemistry_topic,label_length,verification,notes,final_status
periodictable.com,com,periodic table,4090000,246000,Periodic Table Guide & Reference - Free Chemistry Cheat Sheet,4111020,guide,periodic table,13,rdap+whois,short label,REGISTERED
chemistryformulas.com,com,chemistry formulas,110000,1600,Chemistry Cheat Sheet - Free Reference Guide & Formulas,131700,guide,general chemistry,17,rdap+whois,,REGISTERED
chemicalequationbalancer.com,com,chemical equation balancer,40500,1900,Balancing Chemical Equations Game - Free Online Practice,152360,game,balancing equations,24,rdap+whois,,REGISTERED
howtobalancechemicalequations.com,com,how to balance chemical equations,22200,1900,How to Balance Chemical Equations: Step-by-Step Guide,175350,guide,balancing equations,29,rdap+whois,,AVAILABLE
polyatomicionslist.com,com,polyatomic ions list,18100,480,Polyatomic Ions Cheat Sheet - List & Memorization Tips,29080,guide,chemical formulas/naming,18,rdap+whois,,AVAILABLE
apchemistryformulasheet.com,com,ap chemistry formula sheet,18100,40,AP Chemistry Cheat Sheet - Formula Sheet & Quick Reference,18100,guide,general chemistry,23,rdap+whois,,AVAILABLE
whatischemistry.com,com,what is chemistry,18100,1300,What Is Chemistry? - A Simple Guide for Students,18100,guide,general chemistry,15,rdap+whois,,REGISTERED
balancingequations.com,com,balancing equations,12100,1600,Balancing Chemical Equations Game - Free Online Practice,152360,game,balancing equations,18,rdap+whois,,REGISTERED
periodictablepdf.com,com,periodic table pdf,9900,720,Periodic Table Guide & Reference - Free Chemistry Cheat Sheet,4111020,guide,periodic table,16,rdap+whois,,REGISTERED
quizabouttheperiodictable.com,com,quiz about the periodic table,6600,590,Periodic Table Game - Free Online Element Quiz,180970,game,periodic table,25,rdap+whois,game/quiz term,AVAILABLE
quizperiodictable.com,com,quiz periodic table,6600,590,Periodic Table Game - Free Online Element Quiz,180970,game,periodic table,17,rdap+whois,game/quiz term,AVAILABLE
periodictablequiz.com,com,periodic table quiz,6600,590,Periodic Table Game - Free Online Element Quiz,180970,game,periodic table,17,rdap+whois,game/quiz term,REGISTERED
namingioniccompounds.com,com,naming ionic compounds,6600,320,Naming Compounds Practice - Ionic & Covalent Naming,40040,guide,chemical formulas/naming,20,rdap+whois,,AVAILABLE
practicebalancingequations.com,com,practice balancing equations,5400,210,Balancing Chemical Equations Game - Free Online Practice,152360,game,balancing equations,26,rdap+whois,,AVAILABLE
orgo.com,com,orgo,5400,260,Chemistry Cheat Sheet - Free Reference Guide & Formulas,131700,guide,general chemistry,4,rdap+whois,short label,REGISTERED
ioniccompoundsexamples.com,com,ionic compounds examples,5400,390,Naming Compounds Practice - Ionic & Covalent Naming,40040,guide,chemical formulas/naming,22,rdap+whois,,AVAILABLE
balancingequationspractice.com,com,balancing equations practice,5400,210,Balancing Chemical Equations Practice - Worksheet & Answers,590,guide,balancing equations,26,rdap+whois,,AVAILABLE
practiceproblemsstoichiometry.com,com,practice problems stoichiometry,4400,30,Stoichiometry Practice Problems & Step-by-Step Solutions,31080,guide,stoichiometry/moles,29,rdap+whois,,AVAILABLE
practicestoichiometryproblems.com,com,practice stoichiometry problems,4400,30,Stoichiometry Practice Problems & Step-by-Step Solutions,31080,guide,stoichiometry/moles,29,rdap+whois,,AVAILABLE
stoichiometrypracticeproblems.com,com,stoichiometry practice problems,4400,30,Stoichiometry Practice Problems & Step-by-Step Solutions,31080,guide,stoichiometry/moles,29,rdap+whois,,AVAILABLE
namingcompoundschemistry.com,com,naming compounds chemistry,3600,170,Naming Compounds Practice - Ionic & Covalent Naming,40040,guide,chemical formulas/naming,24,rdap+whois,,AVAILABLE
namingcovalentcompounds.com,com,naming covalent compounds,3600,320,Naming Compounds Practice - Ionic & Covalent Naming,40040,guide,chemical formulas/naming,23,rdap+whois,,AVAILABLE
lewisstructurepractice.com,com,lewis structure practice,3600,50,Bonding Practice Game - Lewis Structures & Chemical Bonds,12840,game,bonding,22,rdap+whois,,AVAILABLE
practicelewisstructure.com,com,practice lewis structure,3600,50,Bonding Practice Game - Lewis Structures & Chemical Bonds,12840,game,bonding,22,rdap+whois,,AVAILABLE
